SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,logQmax
9.5,1,39.7291,4.04,1.91,58.69,20,7,-0.115601174
9.5,1,49.7743,4.04,1.91,58.69,20,7,-0.115601174
48.3,1,9.70655,4.01,2.33,207.2,20,7,0.026737494
48.3,1,19.6388,4.01,2.33,207.2,20,7,0.026737494
48.3,1,29.5711,4.01,2.33,207.2,20,7,0.026737494
48.3,1,39.5034,4.01,2.33,207.2,20,7,0.026737494
48.3,1,49.5485,4.01,2.33,207.2,20,7,0.026737494
48.3,1,9.81941,4.19,1.9,63.55,20,7,-0.159768405
48.3,1,19.6388,4.19,1.9,63.55,20,7,-0.159768405
48.3,1,29.684,4.19,1.9,63.55,20,7,-0.159768405
48.3,1,39.5034,4.19,1.9,63.55,20,7,-0.159768405
48.3,1,49.5485,4.19,1.9,63.55,20,7,-0.159768405
48.3,1,9.81941,4.26,1.6,112.41,20,7,-0.218531857
48.3,1,19.7517,4.26,1.6,112.41,20,7,-0.218531857
48.3,1,29.684,4.26,1.6,112.41,20,7,-0.218531857
48.3,1,39.6163,4.26,1.6,112.41,20,7,-0.218531857
48.3,1,49.6614,4.26,1.6,112.41,20,7,-0.218531857
48.3,1,9.93228,4.04,1.91,58.69,20,7,-0.229295232
48.3,1,19.8646,4.04,1.91,58.69,20,7,-0.229295232
48.3,1,29.684,4.04,1.91,58.69,20,7,-0.229295232
48.3,1,39.7291,4.04,1.91,58.69,20,7,-0.229295232
48.3,1,49.8871,4.04,1.91,58.69,20,7,-0.229295232
,1,50,4.01,2.33,207.2,25,5,2.38734643
,1,100,4.01,2.33,207.2,25,5,2.38734643
,1,150,4.01,2.33,207.2,25,5,2.38734643
,1,200,4.01,2.33,207.2,25,5,2.38734643
,1,250,4.01,2.33,207.2,25,5,2.38734643
1000,12.5,4.52196,4.01,2.33,207.2,25,5,-0.619969752
1000,12.5,9.04393,4.01,2.33,207.2,25,5,-0.619969752
1000,12.5,20.0258,4.01,2.33,207.2,25,5,-0.619969752
1000,12.5,43.2817,4.01,2.33,207.2,25,5,-0.619969752
1000,12.5,65.2455,4.01,2.33,207.2,25,5,-0.619969752
1000,12.5,111.757,4.01,2.33,207.2,25,5,-0.619969752
1000,12.5,179.587,4.01,2.33,207.2,25,5,-0.619969752
1000,12.5,226.098,4.01,2.33,207.2,25,5,-0.619969752
1000,12.5,5.68182,4.01,2.33,207.2,5,5,-0.412143172
1000,12.5,10.2273,4.01,2.33,207.2,5,5,-0.412143172
